start	end	type	var
3	6	FLOWS_TO	
6	19	FLOWS_TO	
19	34	FLOWS_TO	
34	48	FLOWS_TO	
34	56	FLOWS_TO	
48	56	FLOWS_TO	
56	84	FLOWS_TO	
56	86	FLOWS_TO	
84	4	FLOWS_TO	
86	101	FLOWS_TO	
101	111	FLOWS_TO	
101	113	FLOWS_TO	
111	4	FLOWS_TO	
113	134	FLOWS_TO	
134	141	FLOWS_TO	
134	145	FLOWS_TO	
141	4	FLOWS_TO	
145	159	FLOWS_TO	
145	4	FLOWS_TO	
159	4	FLOWS_TO	
113	134	REACHES	dest
113	145	REACHES	dest
6	19	REACHES	_POST
19	34	REACHES	_POST
48	56	REACHES	_POST
19	56	REACHES	_POST
48	86	REACHES	_POST
19	86	REACHES	_POST
86	101	REACHES	_POST
86	113	REACHES	_POST
163	166	FLOWS_TO	
166	179	FLOWS_TO	
179	194	FLOWS_TO	
194	208	FLOWS_TO	
194	216	FLOWS_TO	
208	216	FLOWS_TO	
216	244	FLOWS_TO	
216	248	FLOWS_TO	
244	164	FLOWS_TO	
248	258	FLOWS_TO	
248	260	FLOWS_TO	
258	164	FLOWS_TO	
260	281	FLOWS_TO	
281	288	FLOWS_TO	
281	292	FLOWS_TO	
288	164	FLOWS_TO	
292	306	FLOWS_TO	
292	164	FLOWS_TO	
306	164	FLOWS_TO	
260	281	REACHES	dest
260	292	REACHES	dest
166	179	REACHES	_POST
179	194	REACHES	_POST
208	216	REACHES	_POST
179	216	REACHES	_POST
208	248	REACHES	_POST
179	248	REACHES	_POST
208	260	REACHES	_POST
179	260	REACHES	_POST
