start	end	type
2	3	ENTRY
2	4	EXIT
8	9	PARENT_OF
7	8	PARENT_OF
7	10	PARENT_OF
6	7	PARENT_OF
12	13	PARENT_OF
11	12	PARENT_OF
16	17	PARENT_OF
15	16	PARENT_OF
15	18	PARENT_OF
14	15	PARENT_OF
11	14	PARENT_OF
6	11	PARENT_OF
5	6	PARENT_OF
21	22	PARENT_OF
20	21	PARENT_OF
20	23	PARENT_OF
19	20	PARENT_OF
25	26	PARENT_OF
24	25	PARENT_OF
29	30	PARENT_OF
28	29	PARENT_OF
28	31	PARENT_OF
27	28	PARENT_OF
24	27	PARENT_OF
19	24	PARENT_OF
5	19	PARENT_OF
38	39	PARENT_OF
37	38	PARENT_OF
37	40	PARENT_OF
36	37	PARENT_OF
35	36	PARENT_OF
34	35	PARENT_OF
43	44	PARENT_OF
42	43	PARENT_OF
42	45	PARENT_OF
41	42	PARENT_OF
41	46	PARENT_OF
34	41	PARENT_OF
33	34	PARENT_OF
50	51	PARENT_OF
49	50	PARENT_OF
49	52	PARENT_OF
48	49	PARENT_OF
48	53	PARENT_OF
47	48	PARENT_OF
33	47	PARENT_OF
32	33	PARENT_OF
5	32	PARENT_OF
59	60	PARENT_OF
58	59	PARENT_OF
63	64	PARENT_OF
62	63	PARENT_OF
62	65	PARENT_OF
61	62	PARENT_OF
61	66	PARENT_OF
58	61	PARENT_OF
57	58	PARENT_OF
68	69	PARENT_OF
67	68	PARENT_OF
57	67	PARENT_OF
56	57	PARENT_OF
72	73	PARENT_OF
71	72	PARENT_OF
76	77	PARENT_OF
75	76	PARENT_OF
75	78	PARENT_OF
74	75	PARENT_OF
74	79	PARENT_OF
71	74	PARENT_OF
70	71	PARENT_OF
81	82	PARENT_OF
80	81	PARENT_OF
70	80	PARENT_OF
56	70	PARENT_OF
55	56	PARENT_OF
84	85	PARENT_OF
83	84	PARENT_OF
55	83	PARENT_OF
54	55	PARENT_OF
5	54	PARENT_OF
88	89	PARENT_OF
87	88	PARENT_OF
87	90	PARENT_OF
86	87	PARENT_OF
92	93	PARENT_OF
91	92	PARENT_OF
96	97	PARENT_OF
95	96	PARENT_OF
95	98	PARENT_OF
94	95	PARENT_OF
91	94	PARENT_OF
86	91	PARENT_OF
5	86	PARENT_OF
102	103	PARENT_OF
101	102	PARENT_OF
104	105	PARENT_OF
107	108	PARENT_OF
106	107	PARENT_OF
106	109	PARENT_OF
104	106	PARENT_OF
101	104	PARENT_OF
100	101	PARENT_OF
111	112	PARENT_OF
110	111	PARENT_OF
100	110	PARENT_OF
99	100	PARENT_OF
5	99	PARENT_OF
114	115	PARENT_OF
113	114	PARENT_OF
119	120	PARENT_OF
118	119	PARENT_OF
123	124	PARENT_OF
122	123	PARENT_OF
122	125	PARENT_OF
121	122	PARENT_OF
121	126	PARENT_OF
118	121	PARENT_OF
